,station,sign,frontiere_bas,frontiere_haut
267,21313,-15,"['[0011000]', '[0101000]', '[0110000]', '[0000010]']",['[0111111]']
268,21314,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
269,21323,-15,"['[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0001001]', '[0100010]', '[0010010]', '[1000000]', '[0000100]', '[0101000]', '[0110000]']","['[1111101]', '[1111011]']"
270,22001,-15,"['[0000100]', '[0011000]', '[0101000]', '[1000000]', '[0110000]', '[0000010]']","['[1111010]', '[1111100]']"
271,22304,-15,"['[0000100]', '[0100000]', '[0011000]', '[0001001]', '[0010001]', '[1000000]', '[0000010]']","['[0101101]', '[0100011]', '[0010011]', '[1001110]', '[1001101]', '[0011110]', '[1000011]', '[0101110]', '[0011101]', '[0001011]']"
272,23003,-15,"['[1010000]', '[1100000]', '[0001000]', '[0010001]', '[0100001]', '[1000010]', '[0100010]', '[0010010]', '[1000001]', '[0110000]']","['[1111101]', '[1111110]']"
273,23009,-15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']","['[1101111]', '[1011111]', '[1110111]']"
274,23011,-15,"['[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1111101]', '[1111011]']"
275,23101,-15,"['[0001010]', '[0001001]', '[0100010]', '[0001100]', '[0100001]', '[1100000]', '[0101000]', '[1000001]', '[1000010]', '[1001000]', '[0000110]', '[0010000]']","['[0100101]', '[1101010]', '[0111000]', '[1001001]', '[1100001]', '[1110010]', '[0101001]', '[1000101]', '[0101100]', '[1010100]', '[1011000]', '[1010001]', '[1100110]', '[0110001]', '[1001100]', '[0110100]']"
276,23806,-15,"['[0000010]', '[0100000]', '[0001000]', '[0010000]', '[1000000]']","['[1010010]', '[1100010]', '[1001010]']"
277,24007,-15,"['[0001000]', '[0010000]', '[1000000]', '[0000010]']","['[1110010]', '[1111000]', '[1110001]']"
278,25002,-15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]']","['[0101111]', '[0011111]']"
279,30003,-15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]', '[1000000]', '[0000011]']","['[0001010]', '[0100100]', '[0001001]', '[0100010]', '[0010001]', '[0001100]', '[0100001]', '[0010010]', '[1000001]', '[0000101]', '[1000010]', '[0010100]', '[0000110]', '[0000011]']"
280,41208,-15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[1100010]', '[1100001]', '[1010010]', '[1010100]', '[1010001]', '[1100100]', '[1001000]']"
281,41304,-15,"['[1001001]', '[1011000]', '[1100001]', '[1000100]', '[1000010]', '[0000110]', '[0111000]', '[1110000]', '[0100010]', '[0101001]', '[0010010]', '[0110001]', '[0011001]', '[0001010]', '[0100100]', '[1101000]', '[0001100]', '[1010001]', '[0010100]']","['[1111101]', '[1111011]', '[1111110]']"
282,42004,-15,"['[0100000]', '[0001001]', '[0001100]', '[0010000]', '[1000000]', '[0000010]']","['[1000110]', '[0100110]', '[0100101]', '[0011001]', '[1100010]', '[0001110]', '[0100011]', '[1001001]', '[0000111]', '[1100001]', '[1010010]', '[0011100]', '[0101001]', '[1000101]', '[1001010]', '[0101010]', '[0101100]', '[1010100]', '[1010001]', '[1100100]', '[0110001]', '[0110010]', '[1000011]', '[0011010]', '[1001100]', '[0110100]', '[0001101]', '[0001011]']"
283,42011,-15,"['[0000100]', '[0000001]']",['[1111111]']
284,42022,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0001001]', '[1000001]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
285,43101,-15,"['[0000100]', '[0100000]', '[0001010]', '[0010001]', '[0010010]', '[1000000]']","['[1001001]', '[1010010]', '[0101001]', '[1001010]', '[0101010]', '[0101100]', '[1010100]', '[1010001]', '[0110001]', '[0110010]', '[1001100]', '[0110100]']"
286,43202,-15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[0001010]', '[0100100]', '[0001001]', '[0100010]', '[0010001]', '[0001100]', '[0100001]', '[1000100]', '[0010010]', '[1000001]', '[1000010]', '[0010100]']"
287,44001,-15,"['[1000110]', '[0100000]', '[0011000]', '[0001010]', '[1001001]', '[0001100]', '[0010010]', '[1010001]', '[0010100]', '[0000011]']","['[1100101]', '[1101010]', '[1010011]', '[1101001]', '[1000111]', '[1001101]', '[1011010]', '[1010101]', '[1100011]', '[1001011]', '[1011001]']"
288,44002,-15,"['[0000101]', '[0100001]', '[0001001]', '[0100100]', '[0101000]', '[0110000]']",['[1111111]']
289,47008,-15,"['[0000100]', '[0100000]', '[0011000]', '[1010000]', '[0000001]', '[1001000]', '[0000010]']","['[1111001]', '[1111010]', '[1111100]']"
