,station,sign,frontiere_bas,frontiere_haut
65,16105,15,"['[1010000]', '[1100000]', '[1001000]', '[0011000]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0010010]', '[0001010]', '[0100100]', '[0001100]', '[0000001]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
66,16108,15,"['[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010000]']",['[1111111]']
67,16111,15,"['[0001000]', '[0000110]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
68,16112,15,"['[1010000]', '[1100000]', '[0000101]', '[0000011]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0010010]', '[1000001]', '[0100100]', '[0010100]']",['[1111111]']
69,16115,15,"['[1100000]', '[0000101]', '[1000011]', '[0011000]', '[0010001]', '[0100001]', '[1000110]', '[0001001]', '[0100010]', '[1010010]', '[0100100]', '[0001100]', '[0101000]', '[1001010]', '[0010100]', '[0110000]']",['[1111111]']
70,16129,15,"['[0100000]', '[0011000]', '[0010001]', '[0001100]', '[0010010]', '[0010100]', '[0000110]', '[1000000]', '[0001011]']","['[0010111]', '[0101101]', '[1010011]', '[0101011]', '[1100001]', '[1000111]', '[0011011]', '[0111001]', '[0100111]', '[1001101]', '[1010100]', '[1011000]', '[1100010]', '[0110011]', '[0110101]', '[0001111]', '[1001011]', '[0011101]']"
71,16138,15,"['[0000100]', '[0100000]', '[0001000]', '[1000010]', '[0010000]', '[0000011]']","['[1100101]', '[1010011]', '[1101001]', '[1000111]', '[1001101]', '[1010101]', '[1100011]', '[1110001]', '[1001011]', '[1011001]']"
72,16139,15,"['[0000101]', '[0001000]', '[1000100]', '[0000110]', '[1000001]', '[0100000]', '[0010000]']","['[1100111]', '[1011101]', '[1110011]', '[1101011]', '[1101101]', '[1010111]', '[1001111]', '[1110101]', '[1011011]']"
73,16202,15,"['[1100000]', '[0000010]', '[0001000]', '[0000100]', '[0000001]', '[0010000]']",['[1111111]']
74,17005,15,"['[0000010]', '[0001000]', '[0010001]', '[1000000]', '[0000100]', '[0100000]']",['[1111111]']
75,17017,15,"['[0000010]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
76,17022,15,"['[0000010]', '[1000000]', '[0100000]', '[0001100]', '[0000001]', '[0010000]']",['[1111111]']
