,station,sign,station_code,latitude,longitude
52,14127,15,14127,48.842885590081,2.3244281485677
53,14128,15,14128,48.83453413883994,2.313154547426182
54,14131,15,14131,48.822032,2.329095
55,14133,15,14133,48.835147319625,2.3294411972165
56,14135,15,14135,48.81989734315668,2.339700796412437
57,14136,15,14136,48.82577028927573,2.321041524410248
58,14138,15,14138,48.828012849445,2.3056878894567
59,14139,15,14139,48.83059564231877,2.3119183257222176
60,15045,15,15045,48.82805169605981,2.2924277186393742
61,15047,15,15047,48.83310149953933,2.299380004405976
62,15114,15,15114,48.8389284,2.316356
63,16013,15,16013,48.863936848472,2.2765953093767166
64,16027,15,16027,48.85286124871689,2.268483570651513
65,16105,15,16105,48.87080942867,2.2811490076919
66,16108,15,16108,48.863875,2.28189
67,16111,15,16111,48.859403,2.276522
68,16112,15,16112,48.8569864146289,2.282173218142987
69,16115,15,16115,48.85258670812,2.262925245615196
70,16129,15,16129,48.86218070933143,2.2617871686816216
71,16138,15,16138,48.85772148887421,2.2549109905958176
72,16139,15,16139,48.868570404348,2.266000919044
73,16202,15,16202,48.861773096259,2.2838841134601
74,17005,15,17005,48.89032998912038,2.319730559929781
75,17017,15,17017,48.88713901475306,2.314494143994255
76,17022,15,17022,48.887070607581215,2.304111124531457
77,17027,15,17027,48.885263,2.298286
78,17033,15,17033,48.875443870736,2.2938242935036
79,17125,15,17125,48.88863669349711,2.3111706599593163
80,18006,15,18006,48.884687354509,2.3441386967897
81,18017,15,18017,48.889677905028,2.3381787144261
82,18023,15,18023,48.891213890844654,2.351288666219873
83,18032,15,18032,48.897488,2.343996
84,18046,15,18046,48.88794016394694,2.326124420314341
85,18134,15,18134,48.8978867,2.3458001
86,19026,15,19026,48.88192765861766,2.392586767673493
87,19036,15,19036,48.88005222200894,2.4008650346327003
88,19037,15,19037,48.87660391892763,2.404769691129476
89,19039,15,19039,48.87979886049996,2.374839261174202
90,19041,15,19041,48.8741908,2.3860039
91,19043,15,19043,48.893923963057865,2.39790290594101
92,19121,15,19121,48.875565910073,2.3930460959673
93,19202,15,19202,48.889371092747,2.3979396821544
94,19210,15,19210,48.876644633122,2.3920327806309
95,20001,15,20001,48.848364667777,2.3997623859813
96,20002,15,20002,48.8736824,2.3960278
97,20004,15,20004,48.847040552603,2.4160453677177
98,20007,15,20007,48.851617204999,2.4015135973077
99,20008,15,20008,48.85324689821199,2.405871044529538
100,20010,15,20010,48.865217631011,2.3936596512794
